Date,Country,Bond_Currency,Home_Currency,Hard_Ccy_Issuer,FX_Is_Global_Factor,FX_Series,Quote,FX_Rate,LogRet,FX_Vol_30d_ann_pct,FX_Vol_60d_ann_pct,FX_Alt_Series,FX_Alt_Quote,FX_Alt_Rate,FX_Alt_LogRet,FX_Alt_Vol_30d_ann_pct,Global_EURUSD_Rate,Global_EURUSD_LogRet,Global_EURUSD_Vol_30d_ann_pct
2018-01-01,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.832639467110741,,,,,,,,,0.832639467110741,,
2018-01-02,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8292561572269674,-0.004071633029563204,,,,,,,,0.8292561572269674,-0.004071633029563204,
2018-01-03,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8323622440486099,0.003738632693485733,,,,,,,,0.8323622440486099,0.003738632693485733,
2018-01-04,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8286377195889957,-0.004484684868844957,,,,,,,,0.8286377195889957,-0.004484684868844957,
2018-01-05,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8312551953449708,0.003153791310227083,,,,,,,,0.8312551953449708,0.003153791310227083,
2018-01-08,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8356313194618535,0.005250668395208463,,,,,,,,0.8356313194618535,0.005250668395208463,
2018-01-09,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8377314233056882,0.0025100414784778313,,,,,,,,0.8377314233056882,0.0025100414784778313,
2018-01-10,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8370302167908261,-0.0008373807221854768,,,,,,,,0.8370302167908261,-0.0008373807221854768,
2018-01-11,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8311170212765957,-0.007089566372397271,,,,,,,,0.8311170212765957,-0.007089566372397271,
2018-01-12,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8205464839583162,-0.012800042633881292,,,,,,,,0.8205464839583162,-0.012800042633881292,
2018-01-15,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8154611432765229,-0.0062167889385236486,,,,,,,,0.8154611432765229,-0.0062167889385236486,
2018-01-16,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8156274213939073,0.00020388606917129404,,,,,,,,0.8156274213939073,0.00020388606917129404,
2018-01-17,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8206474908702966,0.006135992417153707,,,,,,,,0.8206474908702966,0.006135992417153707,
2018-01-18,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.817093598071659,-0.004340000261263632,,,,,,,,0.817093598071659,-0.004340000261263632,
2018-01-19,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8182301681462995,0.0013900247536580979,,,,,,,,0.8182301681462995,0.0013900247536580979,
2018-01-22,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8155276463872125,-0.0033083535393266528,,,,,,,,0.8155276463872125,-0.0033083535393266528,
2018-01-23,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8130742336775347,-0.0030129089197772907,,,,,,,,0.8130742336775347,-0.0030129089197772907,
2018-01-24,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8059316569954867,-0.00882346761396427,,,,,,,,0.8059316569954867,-0.00882346761396427,
2018-01-25,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8066793046424393,0.0009272511700674502,,,,,,,,0.8066793046424393,0.0009272511700674502,
2018-01-26,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8050881571532083,-0.0019744138578864368,,,,,,,,0.8050881571532083,-0.0019744138578864368,
2018-01-29,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8075913587724612,0.0031044030818011548,7.912316887333204,,,,,,,0.8075913587724612,0.0031044030818011548,7.912316887333204
2018-01-30,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8063215610385422,-0.0015735644474305366,7.7119892539579595,,,,,,,0.8063215610385422,-0.0015735644474305366,7.7119892539579595
2018-01-31,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8050881571532083,-0.0015308386343706182,7.526130890530261,,,,,,,0.8050881571532083,-0.0015308386343706182,7.526130890530261
2018-02-01,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.7993605115907275,-0.007139735916762924,7.583964702175036,,,,,,,0.7993605115907275,-0.007139735916762924,7.583964702175036
2018-02-02,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8024716125667054,0.0038844331324883463,7.6404836561810106,,,,,,,0.8024716125667054,0.0038844331324883463,7.6404836561810106
2018-02-05,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8085708510208208,0.007571827226604849,8.019308550651507,,,,,,,0.8085708510208208,0.007571827226604849,8.019308550651507
2018-02-06,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8079502302658156,-0.0007678474381588585,7.858299458292035,,,,,,,0.8079502302658156,-0.0007678474381588585,7.858299458292035
2018-02-07,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8153946510110894,0.00917176998837238,8.326838591535635,,,,,,,0.8153946510110894,0.00917176998837238,8.326838591535635
2018-02-08,Austria,EUR,EUR,False,True,EURUSD,EUR per USD,0.8165264962848046,0.0013871325303627946,8.1968906344724,,,,,,,0.8165264962848046,0.0013871325303627946,8.1968906344724
