Date,Bond_Issuer,Country,Currency,ESG_ISIN,Conventional_ISIN,Conv2_ISIN,ESG_Label,Conventional_Match_Method,Interp_Weight_C1,Interp_Span_Years,Effective_Maturity_Gap_Years,ESG_Maturity_Date,Conventional_Maturity_Date,Conv2_Maturity_Date,ESG_Time_To_Maturity_Years,Conventional_Time_To_Maturity_Years,ESG_Bid,ESG_Ask,ESG_BidYld_Percent,ESG_AskYld_Percent,ESG_Mid_Yield_Percent,ESG_Bid_Ask_Yield_Spread_bps,ESG_Bid_Ask_Price_Spread,Conventional_Bid,Conventional_Ask,Conventional_BidYld_Percent,Conventional_AskYld_Percent,Conventional_Mid_Yield_C1_Percent,Conv2_Mid_Yield_Percent,Conventional_Mid_Yield_Percent,Conventional_Bid_Ask_Yield_Spread_bps,Conventional_Bid_Ask_Price_Spread,Greenium_bps,Greenium_Percent,Pair_BidAsk_Spread_bps,ESG_Source_File,Conventional_Source_File
2023-04-18,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.09719370294319,7.507186858316222,99.7,99.81,2.954037,2.934037,2.944037,2.0000000000000018,0.10999999999999943,81.71,81.8,2.997894,2.981894,2.989894,,2.989894,1.6000000000000014,0.09000000000000341,4.585700000000026,0.04585700000000026,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-19,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.094455852156058,7.5044490075290895,99.3,99.41,3.027209,3.007209,3.0172090000000003,2.0000000000000018,0.10999999999999943,81.47,81.56,3.043446,3.027446,3.035446,,3.035446,1.6000000000000014,0.09000000000000341,1.8236999999999615,0.018236999999999615,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-20,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.091718001368926,7.501711156741957,99.6,99.71,2.972296,2.952296,2.9622960000000003,2.0000000000000018,0.10999999999999943,81.78,81.87,2.989859,2.973859,2.981859,,2.981859,1.6000000000000014,0.09000000000000341,1.9562999999999775,0.019562999999999775,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-21,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.0889801505817935,7.498973305954825,99.37,99.48,3.014378,2.994378,3.004378,1.9999999999999574,0.10999999999999943,81.71,81.8,3.004001,2.988001,2.996001,,2.996001,1.6000000000000014,0.09000000000000341,-0.8376999999999857,-0.008376999999999857,1.7999999999999794,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-24,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.080766598220397,7.490759753593429,99.35,99.46,3.01807,2.99807,3.00807,2.0000000000000018,0.10999999999999943,81.65,81.74,3.016317,3.000317,3.008317,,3.008317,1.6000000000000014,0.0899999999999892,0.02469999999998862,0.0002469999999998862,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-25,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.078028747433265,7.488021902806297,99.95,100.06,2.908452,2.888452,2.898452,2.0000000000000018,0.10999999999999943,82.24,82.33,2.908834,2.892834,2.900834,,2.900834,1.6000000000000014,0.09000000000000341,0.23820000000003283,0.0023820000000003283,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-26,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.075290896646133,7.485284052019165,100.19,100.3,2.864785,2.844785,2.8547849999999997,2.0000000000000018,0.10999999999999943,82.36,82.45,2.88801,2.87201,2.88001,,2.88001,1.6000000000000014,0.09000000000000341,2.5225000000000275,0.025225000000000275,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-27,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.072553045859,7.482546201232033,99.72,99.83,2.950389,2.930389,2.9403889999999997,2.0000000000000018,0.10999999999999943,81.9,81.99,2.977442,2.961442,2.969442,,2.969442,1.6000000000000014,0.0899999999999892,2.9053000000000218,0.029053000000000218,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-04-28,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.069815195071868,7.479808350444901,100.61,100.72,2.788375,2.768375,2.7783749999999996,2.0000000000000018,0.10999999999999943,82.67,82.76,2.8371,2.8211,2.8291,,2.8291,1.6000000000000014,0.09000000000000341,5.072500000000035,0.05072500000000035,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-01,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.061601642710472,7.471594798083505,100.6,100.71,2.790186,2.770186,2.7801859999999996,2.0000000000000018,0.10999999999999943,82.68,82.77,2.835271,2.819271,2.827271,,2.827271,1.6000000000000014,0.0899999999999892,4.708500000000049,0.04708500000000049,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-02,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.05886379192334,7.468856947296373,100.82,100.93,2.750322,2.730322,2.740322,2.0000000000000018,0.11000000000001364,82.95,83.04,2.787136,2.771136,2.779136,,2.779136,1.6000000000000014,0.09000000000000341,3.8813999999999904,0.038813999999999904,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-03,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.056125941136208,7.4661190965092405,100.82,100.93,2.750241,2.730241,2.740241,2.0000000000000018,0.11000000000001364,83.05,83.14,2.770057,2.754057,2.762057,,2.762057,1.6000000000000014,0.09000000000000341,2.1815999999999836,0.021815999999999836,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-04,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.053388090349076,7.4633812457221085,101.38,101.49,2.649003,2.629003,2.6390029999999998,2.0000000000000018,0.10999999999999943,83.53,83.62,2.686253,2.670253,2.6782529999999998,,2.6782529999999998,1.599999999999957,0.09000000000000341,3.9250000000000007,0.03925000000000001,1.7999999999999794,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-05,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.050650239561944,7.460643394934976,100.96,101.07,2.724596,2.704596,2.7145960000000002,2.0000000000000018,0.10999999999999943,83.01,83.1,2.781888,2.765888,2.773888,,2.773888,1.6000000000000014,0.0899999999999892,5.929199999999968,0.05929199999999968,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-08,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.0424366872005475,7.452429842573579,100.87,100.98,2.740786,2.720786,2.730786,2.0000000000000018,0.10999999999999943,82.8,82.89,2.821414,2.805414,2.813414,,2.813414,1.6000000000000014,0.09000000000000341,8.26279999999997,0.0826279999999997,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-09,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.039698836413415,7.449691991786447,100.68,100.79,2.775146,2.755146,2.7651459999999997,2.0000000000000018,0.10999999999999943,82.73,82.82,2.835396,2.819396,2.827396,,2.827396,1.6000000000000014,0.0899999999999892,6.225000000000014,0.06225000000000014,1.8000000000000016,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
2023-05-10,Austria,Austria,EUR,AT0000A33SH3,AT0000A2CQD2,,Green,SINGLE_C1,,,1.41,2029-05-23,2030-10-20,,6.036960985626283,7.446954140999315,100.87,100.98,2.740619,2.720619,2.730619,2.0000000000000018,0.10999999999999943,83.02,83.11,2.783482,2.767482,2.7754820000000002,,2.7754820000000002,1.599999999999957,0.09000000000000341,4.486300000000032,0.04486300000000032,1.7999999999999794,Austrai_Price History_AT0000A33SH3_ESG.csv,Austrai_Price History_AT0000A2CQD2_Conventional.csv
